iter	MultiClass
0	2.15276126
1	2.029175743
2	1.933397215
3	1.843352548
4	1.776998168
5	1.708528801
6	1.64690089
7	1.596617735
8	1.548420544
9	1.499588991
10	1.460419518
11	1.423002244
12	1.388852802
13	1.359029498
14	1.331634073
15	1.303492014
16	1.278623946
17	1.260047869
18	1.238272221
19	1.213782743
20	1.195071254
21	1.178094439
22	1.158296701
23	1.142443677
24	1.126779319
25	1.108678311
26	1.09088149
27	1.074811347
28	1.060493089
29	1.049443127
30	1.032830955
31	1.020924148
32	1.00844248
33	0.996855721
34	0.9814134096
35	0.9726479631
36	0.957225124
37	0.9465829607
38	0.9363628057
39	0.9258793771
40	0.9173901398
41	0.9082444018
42	0.8992246405
43	0.8902765314
44	0.8808284026
45	0.8720756496
46	0.86629311
47	0.8607682407
48	0.8542154577
49	0.8443498835
50	0.8380646291
51	0.8311268191
52	0.8228260333
53	0.8163985602
54	0.8076886269
55	0.8017341914
56	0.7933011019
57	0.787601118
58	0.7817473473
59	0.776401017
60	0.7722693608
61	0.7654655116
62	0.757345013
63	0.7534687663
64	0.7480717353
65	0.7416330342
66	0.735468489
67	0.730181999
68	0.7250633852
69	0.7197448403
70	0.713409757
71	0.7075674421
72	0.7042054724
73	0.6995861003
74	0.6924010327
75	0.6885657655
76	0.6837836937
77	0.6806246068
78	0.6773216528
79	0.6733342051
80	0.6696187039
81	0.6648996577
82	0.6595199336
83	0.6562138236
84	0.6517962924
85	0.6481743682
86	0.6430961111
87	0.6389059482
88	0.6359790673
89	0.6332894103
90	0.6302011408
91	0.6228649768
92	0.6192165645
93	0.615263721
94	0.6099521322
95	0.604929825
96	0.600815234
97	0.5977553776
98	0.5950107987
99	0.5915384873
100	0.5877016901
101	0.5827819914
102	0.5794218686
103	0.575790934
104	0.572463563
105	0.5672382742
106	0.5646043996
107	0.5629102921
108	0.5607114303
109	0.5586969065
110	0.5559627267
111	0.5535153356
112	0.5503859229
113	0.5462576881
114	0.544094584
115	0.5410154887
116	0.5385359744
117	0.5357156633
118	0.53310839
119	0.5297187884
120	0.5272279807
121	0.5240858095
122	0.5214392219
123	0.5175596435
124	0.5146601441
125	0.5132935987
126	0.5111701737
127	0.5083007807
128	0.506189279
129	0.5030519293
130	0.50104642
131	0.4988148607
132	0.4974707577
133	0.4949425369
134	0.4926683015
135	0.4891930714
136	0.4863455736
137	0.48404606
138	0.4798317921
139	0.4782126308
140	0.4770376684
141	0.4747112701
142	0.4712549946
143	0.4689151512
144	0.4671140057
145	0.4645283166
146	0.463028653
147	0.4612565516
148	0.4595016156
149	0.4577929902
150	0.4557673458
151	0.454319625
152	0.4527685232
153	0.4503771341
154	0.4469268448
155	0.4454676947
156	0.443448519
157	0.4419969612
158	0.4409584828
159	0.4396567949
160	0.4382540621
161	0.4359482834
162	0.4340808029
163	0.432155278
164	0.430881621
165	0.4289356052
166	0.4269846902
167	0.4250349379
168	0.4235862461
169	0.4220258557
170	0.4207116619
171	0.4180548169
172	0.4168040345
173	0.4157477618
174	0.4137558623
175	0.4123727225
