iter	Passed	Remaining
0	113	113220
1	234	116952
2	335	111335
3	442	110104
4	543	108156
5	644	106693
6	746	105909
7	844	104734
8	950	104624
9	1051	104097
10	1152	103632
11	1258	103640
12	1357	103030
13	1457	102677
14	1562	102582
15	1659	102088
16	1763	101998
17	1859	101456
18	1974	101958
19	2075	101676
20	2177	101512
21	2281	101433
22	2383	101256
23	2482	100972
24	2581	100680
25	2689	100736
26	2792	100649
27	2894	100495
28	2991	100151
29	3089	99903
30	3203	100125
31	3299	99795
32	3402	99699
33	3503	99550
34	3597	99185
35	3703	99158
36	3803	99004
37	3903	98817
38	4003	98656
39	4106	98567
40	4206	98381
41	4305	98196
42	4403	98006
43	4502	97835
44	4600	97638
45	4699	97464
46	4794	97208
47	4888	96960
48	4987	96794
49	5087	96656
50	5186	96513
51	5286	96368
52	5385	96223
53	5483	96063
54	5583	95929
55	5688	95889
56	5786	95734
57	5883	95559
58	5982	95421
59	6078	95230
60	6179	95116
61	6296	95257
62	6397	95147
63	6499	95052
64	6597	94898
65	6698	94790
66	6798	94677
67	6901	94587
68	7003	94501
69	7099	94326
70	7217	94442
71	7318	94329
72	7422	94254
73	7517	94070
74	7618	93963
75	7716	93810
76	7808	93603
77	7910	93509
78	8007	93351
79	8103	93185
80	8205	93093
81	8306	92991
82	8429	93131
83	8527	92994
84	8629	92898
85	8735	92845
86	8833	92695
87	8930	92550
88	9025	92383
89	9131	92330
90	9227	92171
91	9331	92099
92	9428	91955
93	9527	91827
94	9627	91714
95	9742	91737
96	9849	91690
97	9943	91524
98	10043	91401
99	10138	91247
100	10238	91133
101	10332	90968
102	10424	90781
103	10523	90664
104	10619	90521
105	10714	90367
106	10806	90187
107	10901	90039
108	10995	89876
109	11096	89780
110	11194	89659
111	11293	89538
112	11388	89390
113	11485	89265
114	11613	89371
115	11720	89316
116	11808	89121
117	11901	88957
118	11993	88789
119	12092	88677
120	12184	88516
121	12284	88408
122	12382	88285
123	12481	88175
124	12577	88044
125	12672	87904
126	12773	87802
127	12867	87659
128	12961	87513
129	13050	87339
130	13143	87188
131	13244	87091
132	13342	86974
133	13438	86846
134	13544	86782
135	13658	86772
136	13758	86666
137	13861	86582
138	13980	86597
139	14085	86524
140	14198	86502
141	14308	86456
142	14417	86406
143	14530	86378
144	14642	86342
145	14755	86310
146	14873	86309
147	14993	86314
148	15106	86281
149	15225	86278
150	15337	86236
151	15447	86179
152	15550	86089
153	15658	86019
154	15759	85914
155	15860	85809
156	15964	85721
157	16063	85603
158	16167	85512
159	16265	85393
160	16368	85298
161	16466	85177
162	16571	85093
163	16671	84985
164	16766	84847
165	16861	84715
166	16966	84630
167	17078	84580
168	17177	84465
169	17271	84326
170	17372	84223
171	17470	84100
172	17571	84000
173	17676	83913
174	17774	83794
175	17874	83686
176	17977	83591
177	18082	83503
178	18186	83414
179	18288	83312
180	18387	83199
181	18486	83088
182	18591	83000
183	18693	82899
184	18781	82741
185	18878	82619
186	18984	82538
187	19095	82478
188	19210	82431
189	19303	82293
190	19399	82166
191	19493	82036
192	19590	81916
193	19686	81788
194	19780	81659
195	19875	81529
196	19972	81409
197	20065	81274
198	20158	81138
199	20246	80987
200	20341	80861
201	20434	80726
202	20523	80578
203	20617	80447
204	20709	80311
205	20801	80177
206	20891	80035
207	20989	79920
208	21083	79795
209	21185	79696
210	21275	79556
211	21370	79433
212	21464	79307
213	21561	79192
214	21665	79103
215	21760	78983
216	21853	78855
217	21947	78728
218	22041	78603
219	22138	78491
220	22228	78351
221	22319	78219
222	22412	78092
223	22507	77973
224	22608	77873
225	22703	77753
226	22797	77632
227	22896	77525
228	22992	77412
229	23090	77303
230	23194	77215
231	23286	77086
232	23376	76952
233	23470	76831
234	23585	76777
235	23684	76673
236	23775	76542
